player_name,pitcher,pitch_type,pitches_vs_same,pitches_vs_opposite,score_vs_same,score_vs_opposite,confidence_vs_same,confidence_vs_opposite,trusted_score_vs_same,trusted_score_vs_opposite,platoon_gap,platoon_gap_abs,weaker_side
"Castillo, Luis",622491,SL,84.0,53.0,92.95942720763723,54.17661097852029,56.00000000000001,35.333333333333336,73.0672851580024,50.02074458221928,-23.046540575783126,23.046540575783126,opposite
"Mikolas, Miles",571945,SI,108.0,41.0,22.434367541766107,63.126491646778035,72.0,27.333333333333332,29.522748398442403,51.95291749660548,22.430169098163077,22.430169098163077,same
"Ashcraft, Graham",668933,FC,76.0,83.0,12.291169451073985,55.72792362768496,50.66666666666667,55.333333333333336,29.784199161387953,52.16445708543435,22.380257924046397,22.380257924046397,same
"Burns, Chase",695505,FF,50.0,54.0,68.01909307875896,4.41527446300716,33.33333333333333,36.0,54.50637333189776,32.14950742010157,-22.35686591179619,22.35686591179619,opposite
"Schwellenbach, Spencer",680885,FF,55.0,89.0,59.546539379474936,17.42243436754177,36.666666666666664,59.333333333333336,52.075406296170016,29.755649864518098,-22.319756431651918,22.319756431651918,opposite
"Heaney, Andrew",571760,FF,57.0,177.0,3.579952267303103,8.711217183770884,38.0,100.0,30.965390205824825,8.711217183770884,-22.25417302205394,22.25417302205394,opposite
"Kinley, Tyler",641755,SL,109.0,81.0,76.49164677804295,45.94272076372315,72.66666666666667,54.0,68.63560033735891,46.7740754033054,-21.861524934053506,21.861524934053506,opposite
"Civale, Aaron",650644,FC,71.0,84.0,62.29116945107399,21.002386634844868,47.333333333333336,56.00000000000001,54.63282729496774,32.77134243723868,-21.86148485772906,21.86148485772906,opposite
"Keller, Brad",641745,FF,47.0,76.0,3.8186157517899764,63.60381861575179,31.333333333333336,50.66666666666667,33.98484217704165,55.78260807149138,21.797765894449732,21.797765894449732,same
"Sugano, Tomoyuki",608372,FS,36.0,141.0,98.80668257756562,83.7708830548926,24.0,94.0,60.0036140470508,81.60963087910707,21.60601683205627,21.60601683205627,same
"Milner, Hoby",571948,SI,66.0,50.0,68.97374701670644,10.978520286396181,44.0,33.33333333333333,57.088456224092454,35.492849067776845,-21.59560715631561,21.59560715631561,opposite
"Ober, Bailey",641927,CH,58.0,137.0,77.56563245823389,84.00954653937947,38.666666666666664,91.33333333333333,59.2787194717103,80.86705367236706,21.58833420065676,21.58833420065676,same
"Warren, Will",701542,ST,83.0,50.0,62.05250596658711,6.801909307875895,55.333333333333336,33.33333333333333,55.664059312960205,34.10064540827008,-21.563413904690123,21.563413904690123,opposite
"Zerpa, Angel",672582,SI,74.0,46.0,62.76849642004774,1.7899761336515514,49.333333333333336,30.666666666666664,55.15913171951358,33.655602012190386,-21.503529707323196,21.503529707323196,opposite
"Schwellenbach, Spencer",680885,SL,64.0,32.0,92.00477326968974,35.56085918854415,42.66666666666667,21.333333333333336,66.63204431125547,45.14966054755026,-21.482383763705208,21.482383763705208,opposite
"Rodriguez, Eduardo",593958,FF,61.0,262.0,15.155131264916468,55.96658711217184,40.666666666666664,100.0,34.49476136642322,55.96658711217184,21.471825745748617,21.471825745748617,same
"Hendricks, Kyle",543294,CH,122.0,175.0,56.56324582338902,76.25298329355608,81.33333333333333,100.0,54.91810911527027,76.25298329355608,21.334874178285816,21.334874178285816,same
