player_name,n_pitch_types,velocity_range,max_velo,min_velo,raw_velocity_index,velocity_score,confidence_score,trusted_velocity_score
"Fernández, Julian",1,0.0,97.3558,97.3558,-1.1567153626155435,9.141274238227147,25.0,39.837257617728525
"Tolle, Payton",1,0.0,96.6832,96.6832,-1.2588288515029018,9.002770083102494,25.0,39.80263157894736
"Wilson, Bryse",5,11.768600000000006,92.5854,80.8168,0.007377185331978982,39.75069252077562,100.0,39.75069252077562
"Pop, Zach",1,0.0,96.3829,96.3829,-1.3044201103683088,8.725761772853186,25.0,39.73337950138504
"Murray, Jayden",1,0.0,96.1723,96.1723,-1.3363932010011925,8.587257617728532,25.0,39.698753462603875
"Harvey, Hunter",1,0.0,96.1045,96.1045,-1.346686532173603,8.310249307479225,25.0,39.62950138504155
"Wesneski, Hayden",4,10.557199999999995,93.8548,83.2976,0.005721154170970944,39.612188365650965,100.0,39.612188365650965
"Weems, Jordan",1,0.0,95.7316,95.7316,-1.4032998536218575,8.171745152354571,25.0,39.59487534626038
"Sanders, Cam",1,0.0,95.7312,95.7312,-1.4033605812393937,8.033240997229916,25.0,39.56024930747922
"Zulueta, Yosver",1,0.0,95.3211,95.3211,-1.4656215711185276,7.756232686980609,25.0,39.49099722991689
"Contreras, Roansy",1,0.0,95.1675,95.1675,-1.4889409762524821,7.479224376731302,25.0,39.42174515235457
"Castro, Miguel",1,0.0,95.1,95.1,-1.4991887617117412,7.340720221606649,25.0,39.387119113573405
"Darnell, Dugan",2,9.166299999999993,93.6643,84.498,-0.24637716246753918,28.670360110803323,50.0,39.36980609418282
"Matzek, Tyler",1,0.0,94.4868,94.4868,-1.5922841993949512,7.063711911357341,25.0,39.31786703601107
"Marinaccio, Ron",1,0.0,94.2304,94.2304,-1.6312106022357458,6.9252077562326875,25.0,39.28324099722991
"Leclerc, José",1,0.0,94.2052,94.2052,-1.635036442140535,6.786703601108034,25.0,39.24861495844875
"Bowden, Ben",2,9.405500000000004,93.4036,83.9981,-0.2475755633577443,28.39335180055402,50.0,39.23130193905817
"Warren, Austin",1,0.0,94.0058,94.0058,-1.6653091594824028,6.64819944598338,25.0,39.213988919667585
"Rodriguez, Carlos",1,0.0,93.8519,93.8519,-1.688674110329509,6.509695290858726,25.0,39.17936288088642
"Herget, Kevin",2,10.655299999999997,92.0705,81.4152,-0.2494289352416543,28.254847645429365,50.0,39.162049861495845
"Gervase, Paul",1,0.0,93.8212,93.8212,-1.6933349549754226,6.3711911357340725,25.0,39.14473684210526
"Suárez, Albert",1,0.0,93.8133,93.8133,-1.6945343254217664,6.232686980609419,25.0,39.1101108033241
"McKenzie, Triston",1,0.0,93.6616,93.6616,-1.7175652743724223,6.094182825484765,25.0,39.075484764542935
"Patrick, Chad",5,10.077200000000005,94.2847,84.2075,-0.006030214478707363,39.05817174515235,100.0,39.05817174515235
"Estrada, Lazaro",1,0.0,93.6603,93.6603,-1.7177626391294156,5.955678670360111,25.0,39.040858725761765
"Rock, Joe",1,0.0,93.5281,93.5281,-1.7378331167251782,5.8171745152354575,25.0,39.0062326869806
