player_name,comp_player_name,same_hand,rank,arsenal_distance
"Beck, Tristan","Strowd, Kade",True,8,0.959562582872347
"Beck, Tristan","Burke, Sean",True,9,0.9693080127144393
"Beck, Tristan","Englert, Mason",True,10,0.9943997294885922
"Wheeler, Zack","Simpson, Josh",False,1,0.45026720244756313
"Wheeler, Zack","Montero, Keider",True,2,0.5870455161458276
"Wheeler, Zack","Vasil, Mike",True,3,0.5931324156082011
"Wheeler, Zack","Arrighetti, Spencer",True,4,0.5980921071157532
"Wheeler, Zack","McGreevy, Michael",True,5,0.6383812316144667
"Wheeler, Zack","Gómez, Yoendrys",True,6,0.6397010067025258
"Wheeler, Zack","Messick, Parker",False,7,0.7069187420683833
"Wheeler, Zack","Vásquez, Randy",True,8,0.7191999893992449
"Wheeler, Zack","Blackburn, Paul",True,9,0.7231153815144952
"Wheeler, Zack","Taillon, Jameson",True,10,0.7276224627936383
"Cecconi, Slade","Mikolas, Miles",True,1,0.5492220026625076
"Cecconi, Slade","Wacha, Michael",True,2,0.5628063100936004
"Cecconi, Slade","Allard, Kolby",False,3,0.5742914186404302
"Cecconi, Slade","Englert, Mason",True,4,0.626738972534049
"Cecconi, Slade","Burrows, Mike",True,5,0.7066437560640609
"Cecconi, Slade","Pérez, Eury",True,6,0.7069062025001583
"Cecconi, Slade","Boushley, Caleb",True,7,0.7875844768391519
"Cecconi, Slade","Verlander, Justin",True,8,0.8525355705784919
"Cecconi, Slade","Yamamoto, Yoshinobu",True,9,0.8570807168097707
"Cecconi, Slade","Liberatore, Matthew",False,10,0.908309916573177
"Burrows, Mike","Mikolas, Miles",True,1,0.4509408655547296
"Burrows, Mike","Liberatore, Matthew",False,2,0.5166348464118075
"Burrows, Mike","Verlander, Justin",True,3,0.5382435760651996
"Burrows, Mike","Latz, Jacob",False,4,0.5607481161194632
"Burrows, Mike","Englert, Mason",True,5,0.6029656762394494
"Burrows, Mike","Allard, Kolby",False,6,0.6392948289088108
"Burrows, Mike","Paddack, Chris",True,7,0.6586996899874261
"Burrows, Mike","Cecconi, Slade",True,8,0.7066437560640609
"Burrows, Mike","Young, Brandon",True,9,0.7136064903451572
"Burrows, Mike","Wacha, Michael",True,10,0.7495986436686465
"Leahy, Kyle","Schmidt, Clarke",True,1,0.3723064672971889
"Leahy, Kyle","Junk, Janson",True,2,0.43622898613626815
"Leahy, Kyle","Vasil, Mike",True,3,0.614352339035382
"Leahy, Kyle","Gusto, Ryan",True,4,0.641278660592479
"Leahy, Kyle","Taillon, Jameson",True,5,0.6729166008528854
"Leahy, Kyle","Lugo, Seth",True,6,0.6893243600344416
"Leahy, Kyle","Gibson, Cade",False,7,0.7367477997138521
"Leahy, Kyle","López, Pablo",True,8,0.7705431780651739
"Leahy, Kyle","Faucher, Calvin",True,9,0.7834024459026384
"Leahy, Kyle","Strowd, Kade",True,10,0.8226603756736176
"Vasil, Mike","Gómez, Yoendrys",True,1,0.3755935100582438
"Vasil, Mike","Taillon, Jameson",True,2,0.3976088757556147
"Vasil, Mike","Lugo, Seth",True,3,0.5674007602498246
"Vasil, Mike","López, Pablo",True,4,0.5807861306453537
"Vasil, Mike","Wheeler, Zack",True,5,0.5931324156082011
"Vasil, Mike","Schmidt, Clarke",True,6,0.5951677443856302
"Vasil, Mike","Simpson, Josh",False,7,0.5983676672303572
"Vasil, Mike","Vásquez, Randy",True,8,0.6047571133411022
"Vasil, Mike","Leahy, Kyle",True,9,0.614352339035382
"Vasil, Mike","Mazur, Adam",True,10,0.6389112418597255
"Selby, Colin","Taylor, Troy",True,1,1.0492557986654671
"Selby, Colin","Hill, Rich",False,2,1.3047412144865218
"Selby, Colin","McGee, Easton",True,3,1.8551713122096112
"Selby, Colin","Hudson, Bryan",False,4,2.5093889530423823
"Selby, Colin","Phillips, Connor",True,5,2.612636509056072
"Selby, Colin","Harrison, Kyle",False,6,2.9339280308713507
"Selby, Colin","Johnson, Pierce",True,7,3.20073132252689
"Selby, Colin","Peralta, Luis",False,8,3.330658521466474
"Selby, Colin","Rogers, Tyler",True,9,3.394738415940354
"Selby, Colin","Abreu, Bryan",True,10,3.4043711476854943
