player_name,pitcher,pitch_type,pitch_name,p_throws,pitches,balls,velo,spin,spin_axis,HB,IVB,extension,release_x,release_z,swing_rate,whiff_rate,called_strike_rate,chase_rate,strike_rate,xwoba,xba,avg_exit_velocity,avg_launch_angle,hard_hit_rate,sweet_spot_rate,run_value,avg_run_value,swings,whiffs,contacts,balls_in_play,csw_rate,run_value_per_100,usage
"Latz, Jacob",656641,CU,Curveball,L,89,89,78.2742,2650.0909,328.1477,-6.8076,-12.3438,6.5427,1.9075,5.9507,0.2022,0.0337,0.2921,0.0787,0.4944,0.1555,0.1872,83.2417,0.3333,0.0,0.0337,0.586,0.0066,18,3,14,5,0.3258,0.6584,0.0641
"Latz, Jacob",656641,FF,4-Seam Fastball,L,685,685,94.2366,2279.6421,149.5579,8.7572,18.771,6.6736,1.7949,5.94,0.5212,0.1036,0.1343,0.1051,0.6555,0.3305,0.3298,84.0808,32.8161,0.0905,0.1255,-10.691,-0.0156,357,71,286,114,0.238,-1.5607,0.4935
"Latz, Jacob",656641,SL,Slider,L,290,290,84.4238,2513.2163,254.195,-5.2337,0.9534,6.6441,2.0168,5.861,0.4655,0.131,0.1793,0.1483,0.6448,0.2598,0.2612,81.0852,11.9886,0.0655,0.0655,-4.626,-0.016,135,38,97,52,0.3103,-1.5952,0.2089
"Lauer, Eric",641778,CH,Changeup,L,139,139,85.0338,943.9424,115.5827,8.7082,5.3137,6.0669,1.8809,5.9834,0.3237,0.0647,0.0647,0.1367,0.3885,0.4829,0.4412,86.6065,5.8065,0.0863,0.0863,4.278,0.0308,45,9,36,20,0.1295,3.0777,0.0765
"Lauer, Eric",641778,CU,Curveball,L,267,267,75.0876,2401.1835,314.4457,-9.0989,-9.7052,5.8659,1.8608,6.1888,0.397,0.1011,0.2547,0.1311,0.6517,0.2938,0.3148,82.3908,6.3684,0.0712,0.0861,0.343,0.0013,106,27,79,44,0.3558,0.1285,0.1469
"Lauer, Eric",641778,FC,Cutter,L,374,374,86.407,2383.3529,180.4305,-3.3751,6.4771,6.0722,1.8914,6.0204,0.4733,0.1016,0.2059,0.123,0.6791,0.3773,0.3945,82.0618,29.561,0.0856,0.131,1.54,0.0041,177,38,139,60,0.3075,0.4118,0.2057
"Lauer, Eric",641778,FF,4-Seam Fastball,L,846,846,91.7474,2242.792,140.8274,8.6983,15.8512,6.1294,1.7664,6.0702,0.5426,0.0863,0.1714,0.1123,0.7139,0.2955,0.2971,82.5614,33.2137,0.091,0.1407,-9.773,-0.0116,459,73,386,157,0.2577,-1.1552,0.4653
"Lauer, Eric",641778,SI,Sinker,L,1,1,91.9,2205.0,135.0,15.72,14.28,6.4,1.79,5.89,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.035,0.035,0,0,0,0,0.0,3.5,0.0006
"Lauer, Eric",641778,SL,Slider,L,191,191,83.177,2226.6178,217.466,-3.4165,1.7491,6.0314,1.832,6.1088,0.4921,0.1204,0.1414,0.1361,0.6335,0.1797,0.2602,84.0955,27.2687,0.1204,0.1047,-4.39,-0.023,94,23,71,39,0.2618,-2.2984,0.1051
"Laweryson, Cody",689520,CH,Changeup,R,25,25,83.428,1868.92,245.16,-16.416,5.784,6.4,-1.7072,5.6884,0.4,0.04,0.28,0.12,0.68,0.1761,0.1855,83.6333,21.1111,0.08,0.08,-1.38,-0.0552,10,1,9,8,0.32,-5.52,0.2688
