player_name,season,p_throws,total_pitches,release_x,release_z,extension,avg_velo,map_x,map_y
"Farmer, Buck",2024,R,1151.0,-1.19215509,5.69337157,6.07963665,87.76823884000001,0.5959968258332995,-0.1571614750029211
"Faucher, Calvin",2024,R,987.0,-1.04462839,6.00059224,5.72145209,91.40948129,0.44116503321295,1.302130891277142
"Fedde, Erick",2024,R,2891.0,-1.4556616338366166,5.826129817018298,6.678076352364763,89.21768644135587,-0.4432285321893397,-0.08969916038927529
"Feltner, Ryan",2024,R,2497.0,-1.31645972,5.539948300000001,6.4339452700000015,89.77135683,-0.30942827455297156,-0.21642406712715395
"Ferguson, Caleb",2024,L,941.0,2.36652144,5.64594738,6.504888810000001,89.95303857,0.9142561702795208,0.014575074772853394
"Ferguson, Tyler",2024,R,819.0,-3.37901096,5.845543,6.0356564200000005,92.1607952,-0.9545713166327495,0.9553259525859317
"Fernandez, Ryan",2024,R,1191.0,-2.1959462299999997,5.7820575,6.386396360000001,91.01029641,-0.7356682156288569,0.4057878342487076
"Ferrer, José A.",2024,L,476.0,2.8525441899999997,5.91117594,6.090371719999999,95.60083891,0.5333770685616572,1.8773996888604854
"Festa, David",2024,R,1099.0,-2.1007816918308166,6.154628527147285,6.866607299270073,90.24436417358264,-0.992511876588872,0.4539039101110901
"Festa, Matt",2024,R,385.0,-2.2311577099999997,4.88487614,6.3654502100000006,88.31562427,-0.47350449402314115,-1.4467019799923655
"Finnegan, Kyle",2024,R,1067.0,-1.8673515,5.72831744,6.62351347,94.21669812,-1.5505735322932317,0.8349970848170067
"Fitts, Richard",2024,R,314.0,-2.08825401459854,6.126307589241076,6.538205179482052,89.72826510348966,-0.5105164159531944,0.5365810393741541
"Flaherty, Jack",2024,R,2957.0,-2.452654655465546,5.370698719871987,6.5944389338933895,86.9916523752375,-0.4022118506659335,-1.1806546451059496
"Fleming, Josh",2024,L,532.0,2.8819689200000003,5.38274672,6.5260646,86.63265396,1.6489782653917822,-1.0610682036210275
"Flexen, Chris",2024,R,2797.0,-0.16293256,6.84234091,6.307590830000001,85.37352444000003,1.53686618076029,0.8829444676443666
"Floro, Dylan",2024,R,1018.0,-3.36788157,6.0243914599999995,6.481506939999999,87.49173525,-0.48688882129134065,-0.06751961389941742
"Foley, Jason",2024,R,922.0,-1.7514727472747276,5.693980028002801,6.640213431343134,94.0468500550055,-1.506075803748033,0.7407577835178348
"France, J.P.",2024,R,466.0,-1.3905558900000001,5.6293096,6.271689670000001,84.75810801000002,0.8788998358827317,-1.0156798374690292
"Francis, Bowden",2024,R,1558.0,-2.1219834283428347,5.917222722272228,6.804440024002401,86.57827679767979,-0.2741587169390976,-0.6103551644100844
"Freeland, Kyle",2024,L,1769.0,2.5418151515151512,5.723647154715471,6.633653795379537,88.20558759875988,1.1980856040141945,-0.3216563298900636
"Fried, Max",2024,L,2806.0,1.31402332,5.951278860000001,6.5318647300000015,87.06795863999999,1.1792702530360226,-0.1845971006121752
"Frías, Luis",2024,R,229.0,-1.35225199,6.46725242,6.456763469999999,91.12178718,-0.3222272673495964,1.397595826873275
"Fulmer, Carson",2024,R,1464.0,-2.4996486102779443,5.658566776644672,6.359877364527095,89.7275524995001,-0.5969147732036124,-0.029245010762341133
"Funderburk, Kody",2024,L,652.0,2.43213258,5.90903551,6.8945060300000005,89.14084543999999,0.7271916125290675,-0.04337789482611164
"Gaddis, Hunter",2024,R,1230.0,-2.65531086,6.14751877,6.90313257,89.96530445,-1.1791009357447086,0.34652723356190446
"Gallegos, Giovanny",2024,R,401.0,-1.7194865900000003,6.73358809,5.73990234,87.60120322,1.1699497018496787,1.5489909589339064
"Gallen, Zac",2024,R,2506.0,-2.84087136,5.859276929999999,6.59222883,88.4927147,-0.6805384238751196,-0.16510421392501984
"Garabito, Gerson",2024,R,492.0,-2.2180794500000003,5.731460250000001,6.647337580000001,88.38874858000001,-0.5436166361341469,-0.39656028574417185
"Garcia, Robert",2024,L,946.0,3.738918360000001,5.5896009200000005,6.61382945,90.93119213000003,1.0623035756109922,0.09226155339171942
"García, Deivi",2024,R,283.0,-1.84777762,5.4417472799999995,6.44667757,88.63259418000001,-0.3180410482812052,-0.617791470458076
"García, Luis",2024,R,898.0,-2.270554624537546,6.281909119088092,6.7161213378662135,91.47786846315368,-1.0816038584587324,0.9972392125674189
"García, Yimi",2024,R,619.0,-2.5818242200000006,5.17653278,5.851225950000001,91.51869253000002,-0.5408185970128611,-0.0034363757660272193
"Garrett, Braxton",2024,L,588.0,2.7059334533453345,5.81791193119312,6.723481148114812,86.43817468746875,1.532706938524821,-0.6108117027287315
"Garrett, Reed",2024,R,1107.0,-2.16876531,5.59299042,6.235508520000001,90.97104773,-0.6019440181190832,0.22903748241543204
"Gasser, Robert",2024,L,399.0,2.216932,4.95706897,6.70500707,87.82199220999999,0.8315395549493151,-1.5756304049015446
"Gausman, Kevin",2024,R,2868.0,-2.53205833,5.67860165,6.6320675,90.30727702,-1.035538012520422,-0.0717329181986499
"Germán, Domingo",2024,R,373.0,-1.52323312,5.501653749999999,6.00804574,86.33761754,0.7854051286950812,-0.6912482358111296
"Gibson, Kyle",2024,R,2764.0,-2.166361613838616,6.247669763023698,6.941227637236277,86.64473450654936,-0.357935560973157,-0.21257810910491517
"Gil, Luis",2024,R,2810.0,-2.8675437,5.67161776,6.74363222,92.96566032000001,-1.815868429028923,0.38394684303885507
"Gilbert, Logan",2024,R,2966.0,-1.12495938,5.82700395,7.560703749999998,90.31485004,-1.5754619318784717,-0.47293196663585313
