player_name,pitch_type,HB,IVB,usage,velo,pitches
"Boushley, Caleb",SI,-15.6267,10.2012,0.279,92.185,207
"Boushley, Caleb",SL,4.7236,1.1964,0.1334,83.8212,99
"Bowden, Ben",FF,13.2665,16.5458,0.5882,93.4036,110
"Bowden, Ben",SL,-0.1494,4.7479,0.2834,83.9981,53
"Bowlan, Jonathan",CH,-12.4308,4.6407,0.0839,88.3525,61
"Bowlan, Jonathan",CU,12.2366,-7.164,0.0963,80.9971,70
"Bowlan, Jonathan",FF,-7.9864,17.6779,0.3356,95.5475,244
"Bowlan, Jonathan",SI,-14.0112,12.455,0.1719,96.1016,125
"Bowlan, Jonathan",SL,3.3991,-1.0308,0.3122,85.83,227
"Bowman, Matt",FC,2.017,7.295,0.2573,88.4948,115
"Bowman, Matt",SI,-18.2066,3.6427,0.434,91.1165,194
"Bowman, Matt",ST,12.5848,4.9614,0.1946,82.7471,87
"Boyd, Matthew",CH,15.7623,5.6675,0.2336,78.6883,664
"Boyd, Matthew",CU,-10.8975,-8.5433,0.1161,73.5309,330
"Boyd, Matthew",FF,13.2728,12.889,0.4717,93.2846,1341
"Boyd, Matthew",SL,-2.394,0.2728,0.1467,81.9635,417
"Boyle, Joe",FF,-8.2201,14.7783,0.485,98.5168,453
"Boyle, Joe",FS,-15.7918,2.9053,0.1627,92.9697,152
"Boyle, Joe",SL,3.4851,2.1651,0.3512,90.8433,328
"Bradish, Kyle",CU,5.1638,-12.221,0.1275,83.9889,63
"Bradish, Kyle",FF,1.5193,16.05,0.2267,94.4161,112
"Bradish, Kyle",SI,-11.5297,14.0497,0.3259,94.8292,161
"Bradish, Kyle",SL,12.1663,0.0858,0.3198,86.9348,158
"Bradley, Taj",CU,3.9503,-14.6665,0.1474,81.7973,335
"Bradley, Taj",FC,4.0016,5.5618,0.2262,89.6465,514
"Bradley, Taj",FF,-6.2411,18.5148,0.386,96.2136,877
"Bradley, Taj",FS,-12.6607,8.909,0.1514,91.2448,344
"Bradley, Taj",SI,-10.4632,15.363,0.0889,96.0411,202
"Brash, Matt",CH,-14.4355,-3.3172,0.1188,89.8843,115
"Brash, Matt",SI,-17.4942,7.8684,0.2066,96.4585,200
"Brash, Matt",SL,15.4312,-0.6655,0.625,86.1116,605
"Brasier, Ryan",FF,-8.2379,15.6304,0.3583,94.0627,134
"Brasier, Ryan",SI,-15.3562,10.7175,0.1711,93.9297,64
"Brasier, Ryan",SL,5.3991,2.3163,0.3449,85.3279,129
"Brazobán, Huascar",CH,-16.4755,1.8695,0.3808,90.7618,385
"Brazobán, Huascar",FC,-2.1965,8.5304,0.091,91.012,92
"Brazobán, Huascar",FF,-11.0876,14.4734,0.1197,96.4636,121
"Brazobán, Huascar",SI,-17.8683,8.1406,0.3739,96.4381,378
"Brebbia, John",FF,-10.7861,17.2827,0.4902,92.5569,225
"Brebbia, John",SL,6.8304,4.2223,0.4336,83.9829,199
"Bride, Jonah",FA,-14.1818,12.855,0.7719,72.2227,88
"Brieske, Beau",CH,-14.022,6.2208,0.2469,89.834,100
"Brieske, Beau",FF,-4.5247,18.2814,0.4864,95.6975,197
"Brieske, Beau",SI,-12.8239,15.7433,0.1654,95.7015,67
"Brogdon, Connor",CH,-16.784,7.0766,0.419,84.0114,352
"Brogdon, Connor",FC,3.9715,6.2762,0.1619,86.8147,136
"Brogdon, Connor",FF,-10.9616,15.4732,0.419,95.4639,352
"Brown, Ben",FF,-7.4138,16.9486,0.5584,95.874,970
"Brown, Ben",KC,2.5823,-2.3423,0.3949,87.2848,686
"Brown, Hunter",CH,-14.3616,7.9042,0.1202,88.2006,356
"Brown, Hunter",FF,-6.751,17.3343,0.3747,96.5777,1110
"Brown, Hunter",KC,5.0749,-15.9487,0.1789,83.5128,530
"Brown, Hunter",SI,-13.9259,13.1548,0.2269,95.7049,672
"Brown, Hunter",SL,3.6857,5.6924,0.0851,91.4282,252
"Brown, McCade",FF,-11.3102,12.9029,0.5697,94.3399,286
"Brown, McCade",KC,11.144,-11.9707,0.1793,78.7111,90
"Brown, McCade",SL,3.3885,2.6202,0.1932,85.3082,97
"Brubaker, JT",CH,-15.5017,4.8133,0.1535,87.9264,72
"Brubaker, JT",SI,-15.2847,9.2753,0.4925,93.4043,231
"Brubaker, JT",SL,0.4116,1.3189,0.2431,86.3132,114
"Bruihl, Justin",SI,17.7412,2.8863,0.4978,90.2139,115
"Bruihl, Justin",ST,-19.5662,-1.9398,0.4199,78.3804,97
"Brzykcy, Zach",CH,-16.4835,9.3341,0.2222,88.2824,102
"Brzykcy, Zach",CU,5.13,-10.8718,0.244,83.1232,112
"Brzykcy, Zach",FF,-6.9345,19.0428,0.5338,94.6971,245
"Bubic, Kris",CH,11.3448,0.1844,0.2106,85.4796,378
"Bubic, Kris",FF,4.3268,18.1511,0.3811,92.1349,684
"Bubic, Kris",SI,13.5467,9.4462,0.0652,91.5889,117
"Bubic, Kris",SL,-1.3225,0.3348,0.1354,85.3634,243
"Bubic, Kris",ST,-13.0925,-4.7447,0.2078,82.9397,373
