player_name,pitch_type,pitches,command_dispersion,dispersion_z,dispersion_z_relative,used_handedness_split,avg_clusters_per_split,raw_command_score,command_score,confidence_score,trusted_command_score
"Garrett, Reed",SI,238,0.935927981764791,0.43556275029770214,0.43556275029770214,True,1.0,-0.43556275029770214,29.645669291338585,79.33333333333333,33.85629921259843
"Lorenzen, Michael",ST,199,1.0698562476326285,0.563645638629502,0.563645638629502,True,1.0,-0.563645638629502,25.62992125984252,66.33333333333333,33.84114173228346
"Cleavinger, Garrett",FF,105,1.0784382075928707,1.966830642365956,1.966830642365956,True,1.0,-1.966830642365956,3.740157480314961,35.0,33.82185039370079
"Bibee, Tanner",ST,482,1.047290765342501,0.32388525237609345,0.32388525237609345,True,1.0,-0.32388525237609345,33.818897637795274,100.0,33.818897637795274
"Mey, Luis",SL,104,1.1770401913474715,2.0671515595044796,2.0671515595044796,True,1.0,-2.0671515595044796,3.031496062992126,34.66666666666667,33.73044619422572
"Herget, Jimmy",SI,356,0.9282066083561077,0.3286078447648707,0.3286078447648707,True,1.0,-0.3286078447648707,33.661417322834644,100.0,33.661417322834644
"Dreyer, Jack",CU,101,1.4160388610038455,2.484518132321296,2.484518132321296,True,1.0,-2.484518132321296,1.4173228346456692,33.666666666666664,33.65688976377953
"Gusto, Ryan",CH,168,1.0567084010510435,0.7461003615456825,0.7461003615456825,True,1.0,-0.7461003615456825,20.748031496062993,56.00000000000001,33.62755905511811
"Quantrill, Cal",FS,419,1.077785359802863,0.32940953574278586,0.32940953574278586,True,1.0,-0.32940953574278586,33.54330708661417,100.0,33.54330708661417
"Estrada, Jeremiah",SL,253,1.0217424464543872,0.41145160316965684,0.41145160316965684,True,1.0,-0.41145160316965684,30.47244094488189,84.33333333333334,33.534842519685036
"McKenzie, Triston",FF,99,1.342789918661114,5.7100824395169285,5.7100824395169285,True,1.0,-5.7100824395169285,0.03937007874015748,33.0,33.52618110236221
"Sisk, Evan",SI,103,1.0745176092080906,2.355278288774182,2.355278288774182,True,1.0,-2.355278288774182,1.8503937007874016,34.333333333333336,33.481561679790026
"Altavilla, Dan",FF,121,1.0340809088679528,1.3387259953491357,1.3387259953491357,True,1.0,-1.3387259953491357,9.015748031496063,40.33333333333333,33.481430446194224
"Pallante, Andre",SL,774,1.0142160866816687,0.3312096553189061,0.3312096553189061,True,1.0,-0.3312096553189061,33.425196850393704,100.0,33.425196850393704
"Sims, Lucas",ST,123,1.139249945760644,1.3009602527294857,1.3009602527294857,True,1.0,-1.3009602527294857,9.488188976377952,41.0,33.401771653543314
"Houser, Adrian",FF,222,0.9753930516004845,0.5076989280392583,0.5076989280392583,True,1.0,-0.5076989280392583,27.559055118110237,74.0,33.398818897637796
"Senga, Kodai",FC,389,0.9540194050581402,0.33228742529862215,0.33228742529862215,True,1.0,-0.33228742529862215,33.38582677165354,100.0,33.38582677165354
"Ragans, Cole",KC,138,1.203916272443678,1.0431726842064273,1.0431726842064273,True,1.0,-1.0431726842064273,13.779527559055119,46.0,33.3492125984252
"O'Brien, Riley",ST,161,1.0939542180647535,0.819688856516197,0.819688856516197,True,1.0,-0.819688856516197,18.89763779527559,53.666666666666664,33.31751968503937
"Dunning, Dane",SI,111,1.0345210601367376,1.8012541662320627,1.8012541662320627,True,1.0,-1.8012541662320627,4.84251968503937,37.0,33.30413385826772
"Verlander, Justin",FF,1182,0.9633231670198132,0.33678792101218835,0.33678792101218835,True,1.0,-0.33678792101218835,33.267716535433074,100.0,33.267716535433074
"Rutledge, Jackson",FC,175,0.9848828741721167,0.730753680957429,0.730753680957429,True,1.0,-0.730753680957429,21.25984251968504,58.333333333333336,33.243110236220474
"Graveman, Kendall",SI,128,0.9920295913101991,1.2126709189586122,1.2126709189586122,True,1.0,-1.2126709189586122,10.669291338582678,42.66666666666667,33.23018372703412
"Bido, Osvaldo",SI,204,0.9462622868784163,0.5787114582635999,0.5787114582635999,True,1.0,-0.5787114582635999,25.275590551181104,68.0,33.193700787401575
"Leiter, Jack",SL,602,1.0147968728408148,0.3374016809597161,0.3374016809597161,True,1.0,-0.3374016809597161,33.188976377952756,100.0,33.188976377952756
"Stanek, Ryne",FF,607,0.9634090284946342,0.33800372974908166,0.33800372974908166,True,1.0,-0.33800372974908166,33.1496062992126,100.0,33.1496062992126
"Bellozo, Valente",CH,191,1.0465349262974746,0.6529659441617053,0.6529659441617053,True,1.0,-0.6529659441617053,23.503937007874015,63.66666666666667,33.137992125984255
"Greene, Hunter",FS,188,1.120903205160391,0.6686804783069195,0.6686804783069195,True,1.0,-0.6686804783069195,23.07086614173228,62.66666666666667,33.131758530183724
"Garcia, Brandyn",SI,145,0.9768021614839323,1.0017436353817497,1.0017436353817497,True,1.0,-1.0017436353817497,14.960629921259844,48.333333333333336,33.074475065616795
"Gore, MacKenzie",CU,675,1.1358652024802083,0.33973938059987296,0.33973938059987296,True,1.0,-0.33973938059987296,33.07086614173229,100.0,33.07086614173229
"Boushley, Caleb",FC,140,1.0100741754300984,1.0559887817288869,1.0559887817288869,True,1.0,-1.0559887817288869,13.622047244094487,46.666666666666664,33.03412073490814
"Sousa, Bennett",FF,295,0.9642956600075667,0.3505585378522102,0.3505585378522102,True,1.0,-0.3505585378522102,32.71653543307087,98.33333333333333,33.00492125984252
"Kochanowicz, Jack",ST,103,1.3750901612150703,3.806784875683765,3.806784875683765,True,1.0,-3.806784875683765,0.19685039370078738,34.333333333333336,32.913845144356955
"Cantillo, Joey",FF,704,0.9638732378556807,0.3445769897365803,0.3445769897365803,True,1.0,-0.3445769897365803,32.91338582677165,100.0,32.91338582677165
"Gray, Sonny",CH,229,1.0305805332890547,0.5069093476155823,0.5069093476155823,True,1.0,-0.5069093476155823,27.598425196850396,76.33333333333333,32.90479002624672
"Vásquez, Randy",CH,149,1.0808316857916473,0.966940155630371,0.966940155630371,True,1.0,-0.966940155630371,15.433070866141732,49.666666666666664,32.841666666666676
"Wilson, Steven",FF,325,0.9639052755952093,0.3450306479541974,0.3450306479541974,True,1.0,-0.3450306479541974,32.83464566929134,100.0,32.83464566929134
"Montgomery, Mason",FF,569,0.9641517065440295,0.34852013961784895,0.34852013961784895,True,1.0,-0.34852013961784895,32.795275590551185,100.0,32.795275590551185
"Falter, Bailey",SL,354,1.0159142250549877,0.3493142815804814,0.3493142815804814,True,1.0,-0.3493142815804814,32.75590551181102,100.0,32.75590551181102
"Senga, Kodai",SI,114,1.036346592821909,1.8265410764169838,1.8265410764169838,True,1.0,-1.8265410764169838,4.566929133858268,38.0,32.747637795275594
"Hancock, Emerson",SL,162,1.0628237533516878,0.8494381179311281,0.8494381179311281,True,1.0,-0.8494381179311281,18.031496062992126,54.0,32.746062992125985
"Blackburn, Paul",SI,215,0.9449785971899002,0.5609300478717246,0.5609300478717246,True,1.0,-0.5609300478717246,25.826771653543307,71.66666666666667,32.68143044619423
"Bellozo, Valente",FF,380,0.96442951968617,0.3524540068865237,0.3524540068865237,True,1.0,-0.3524540068865237,32.677165354330704,100.0,32.677165354330704
"Palencia, Daniel",FF,653,0.9645070081166193,0.3535512523152203,0.3535512523152203,True,1.0,-0.3535512523152203,32.637795275590555,100.0,32.637795275590555
"Gilbert, Tyler",FC,154,1.0006450505882705,0.9342530152151621,0.9342530152151621,True,1.0,-0.9342530152151621,16.141732283464567,51.33333333333333,32.62900262467191
"McDermott, Chayce",FF,105,1.1776156128427218,3.3711945442982447,3.3711945442982447,True,1.0,-3.3711945442982447,0.31496062992125984,35.0,32.623031496063
"Pérez, Eury",SL,366,1.016438443461247,0.3549032126557583,0.3549032126557583,True,1.0,-0.3549032126557583,32.59842519685039,100.0,32.59842519685039
"Merryweather, Julian",SL,167,1.0612203321564608,0.8323433146244138,0.8323433146244138,True,1.0,-0.8323433146244138,18.62204724409449,55.666666666666664,32.54166666666667
"Farris, Mitch",CH,108,1.2440581431322786,2.4612183029012806,2.4612183029012806,True,1.0,-2.4612183029012806,1.4566929133858268,36.0,32.53700787401576
"Alcala, Jorge",SI,138,0.9864867023726767,1.135891940490223,1.135891940490223,True,1.0,-1.135891940490223,12.007874015748031,46.0,32.53425196850394
"Stanek, Ryne",FS,127,1.2120179621690443,1.3856130902105122,1.3856130902105122,True,1.0,-1.3856130902105122,8.622047244094489,42.333333333333336,32.49468503937008
"Lazar, Max",FF,357,0.9648825630226867,0.35886915463325336,0.35886915463325336,True,1.0,-0.35886915463325336,32.44094488188976,100.0,32.44094488188976
"Pomeranz, Drew",KC,202,1.157285877371329,0.6422096400597844,0.6422096400597844,True,1.0,-0.6422096400597844,23.818897637795274,67.33333333333333,32.37782152230971
"Rutledge, Jackson",FS,126,1.2238297197803638,1.4785534054072171,1.4785534054072171,True,1.0,-1.4785534054072171,7.913385826771653,42.0,32.335039370078746
"Pilkington, Konnor",CH,108,1.2772844553688059,2.7653929636661796,2.7653929636661796,True,1.0,-2.7653929636661796,0.8661417322834646,36.0,32.324409448818905
"Moreta, Dauri",FF,121,1.0575667045748047,1.671287667191309,1.671287667191309,True,1.0,-1.671287667191309,5.984251968503937,40.33333333333333,32.25872703412074
"Houck, Tanner",SI,298,0.9309044677800089,0.3659780488142847,0.3659780488142847,True,1.0,-0.3659780488142847,32.125984251968504,99.33333333333333,32.24527559055118
