player_name,comp_player_name,rank,physical_distance
"Bellozo, Valente","Ohl, Pierson",4,0.8192728077217593
"Bellozo, Valente","Thielbar, Caleb",5,0.8804411263327548
"Bellozo, Valente","Neris, Héctor",6,0.8844308665414133
"Bellozo, Valente","Granillo, Andre",7,0.9025891248420713
"Bellozo, Valente","Javier, Cristian",8,0.9752994304925042
"Bellozo, Valente","Junis, Jakob",9,1.0055105000918183
"Bellozo, Valente","Lugo, Seth",10,1.0129180710409682
"Bender, Anthony","Sands, Cole",1,0.6082325036144651
"Bender, Anthony","Lorenzen, Michael",2,0.6244974263643094
"Bender, Anthony","Gillispie, Connor",3,0.6982950214181173
"Bender, Anthony","Kelly, Merrill",4,0.810109157428601
"Bender, Anthony","Evans, Logan",5,0.8279140456879682
"Bender, Anthony","Javier, Cristian",6,0.8554025508284188
"Bender, Anthony","Bazardo, Eduard",7,0.8566398364646066
"Bender, Anthony","Sims, Lucas",8,0.8576161979798235
"Bender, Anthony","Stroman, Marcus",9,0.8872766452939214
"Bender, Anthony","Houck, Tanner",10,0.9299800942274767
"Bergert, Ryan","Bednar, David",1,0.3259392218444357
