player_name,n_pitch_types,horizontal_coverage,horizontal_coverage_pre_dampening,vertical_coverage,vertical_coverage_pre_dampening,velocity_range,hull_area,hull_area_pre_dampening,hull_method,fastball_relative_break,fastball_relative_break_pre_dampening,anchor_type,no_anchor_available,avg_nn_distance,avg_nn_distance_pre_dampening,quadrant_coverage_count,confidence_score,raw_movement_score,movement_score,trusted_movement_score
"Loáisiga, Jonathan",3,27.515581880863326,26.306600000000003,7.54736533628505,6.5347,10.876199999999997,15.93816236339552,3.8766408150000133,hull,14.006143126164398,13.824064474838337,SI,False,9.004145000848867,9.243759020635508,2,75.0,-1.2470336411067997,17.72853185595568,25.81371191135734
"Graveman, Kendall",4,19.429024080917102,21.035800000000002,12.328235101453402,13.674100000000001,9.314799999999991,132.0072742708417,148.03742548999998,hull,12.895081853485012,13.137070254602227,SI,False,10.838528945290333,10.52007418350938,2,100.0,-0.8244545692448295,25.62326869806094,25.62326869806094
"Blewett, Scott",3,9.922581880863321,8.7136,16.33686533628505,15.324200000000001,9.376100000000008,67.66483030839551,55.60330876,hull,14.948977272109767,14.766898620783707,FF,False,10.03607538696855,10.275689406755191,2,75.0,-1.3201825913965697,17.31301939058172,25.50207756232687
"Herget, Jimmy",5,26.538366280970884,30.960900000000002,6.041104866621751,9.7455,15.195700000000002,108.00100450328794,152.12282849000002,hull,14.281674374954212,14.947729828514703,SI,False,9.897557155353665,9.021033612005118,3,100.0,-0.8292264011071643,25.48476454293629,25.48476454293629
"Hancock, Emerson",4,22.7653240809171,24.3721,11.9417351014534,13.2876,13.147400000000005,116.0344856208417,132.06463684,hull,12.563754103247584,12.8057425043648,SI,False,10.187097480285685,9.86864271850473,2,100.0,-0.8307260108312449,25.20775623268698,25.20775623268698
"Weaver, Luke",3,16.35058188086332,15.141599999999999,12.597065336285048,11.584399999999999,6.9990999999999985,76.76659318839549,64.70507163999999,hull,11.780451582924615,11.598372931598554,FF,False,10.6163769923151,10.855991012101741,2,75.0,-1.3482352790855634,16.759002770083104,25.08656509695291
"Bello, Brayan",5,22.384866280970883,26.8074,12.995204866621751,16.6996,9.622100000000003,113.20970435328796,157.33152834000003,hull,14.290315970972612,14.956371424533103,SI,False,8.159734195586408,7.283210652237861,3,100.0,-0.8328430409425697,25.069252077562325,25.069252077562325
"Hart, Kyle",5,26.799466280970883,31.222,6.404404866621752,10.1088,10.162000000000006,103.15551746328795,147.27734145000002,hull,15.054606839682132,15.720662293242622,SI,False,8.919462179206025,8.042938635857478,2,100.0,-0.8361635675997586,24.930747922437675,24.930747922437675
"Curvelo, Luis",3,20.571381880863324,19.3624,11.89486533628505,10.882200000000001,11.726100000000002,53.90706791339551,41.845546365000004,hull,12.042682700492955,11.860604049166895,FF,False,9.196414063157022,9.436028082943663,2,75.0,-1.3693701268283132,16.481994459833796,24.878808864265928
"Stratton, Hunter",3,14.795681880863322,13.5867,15.431965336285051,14.419300000000002,11.098700000000008,32.509256498395494,20.44773494999999,hull,14.40481424578056,14.2227355944545,FF,False,9.387310862053125,9.626924881839766,2,75.0,-1.3821957020642939,16.20498614958449,24.67105263157895
