player_name,boundary_type,vertex_order,HB,IVB
"Civale, Aaron",hull,3,12.3716,-14.9641
"Civale, Aaron",hull,4,4.6328,11.156
"Clarke, Taylor",hull,0,-14.4518,1.1209
"Clarke, Taylor",hull,1,4.8516,2.6874
"Clarke, Taylor",hull,2,-6.7727,16.9848
"Clarke, Taylor",hull,3,-13.8223,10.7585
"Clase, Emmanuel",bbox,0,4.0732,1.7579
"Clase, Emmanuel",bbox,1,8.2544,1.7579
"Clase, Emmanuel",bbox,2,8.2544,12.5043
"Clase, Emmanuel",bbox,3,4.0732,12.5043
"Cleavinger, Garrett",hull,0,8.1189,15.5737
"Cleavinger, Garrett",hull,1,-17.14,-1.4707
"Cleavinger, Garrett",hull,2,-6.1051,-0.2276
"Cleavinger, Garrett",hull,3,16.1431,9.1348
"Contreras, Luis",bbox,0,0.0372,18.9908
"Contreras, Luis",bbox,1,0.0372,18.9908
"Contreras, Luis",bbox,2,0.0372,18.9908
"Contreras, Luis",bbox,3,0.0372,18.9908
"Contreras, Roansy",bbox,0,-7.7624,16.8983
"Contreras, Roansy",bbox,1,-7.7624,16.8983
"Contreras, Roansy",bbox,2,-7.7624,16.8983
"Contreras, Roansy",bbox,3,-7.7624,16.8983
"Corbin, Patrick",hull,0,-2.3735,0.4877
"Corbin, Patrick",hull,1,12.477,8.834
"Corbin, Patrick",hull,2,15.1614,11.057
"Corbin, Patrick",hull,3,-0.8522,6.5713
"Cortes, Nestor",hull,0,-13.4385,2.823
"Cortes, Nestor",hull,1,12.5436,6.5913
"Cortes, Nestor",hull,2,4.4779,19.3132
"Cortes, Nestor",hull,3,-4.7751,11.2238
"Coulombe, Danny",hull,0,-11.7672,-4.9119
"Coulombe, Danny",hull,1,10.7409,13.2017
"Coulombe, Danny",hull,2,0.2272,14.6477
"Cox, Austin",hull,0,3.87,18.1389
"Cox, Austin",hull,1,-4.6075,4.3295
"Cox, Austin",hull,2,-2.408,-8.4144
"Crismatt, Nabil",hull,0,-8.3827,14.692
"Crismatt, Nabil",hull,1,-14.2507,10.2231
"Crismatt, Nabil",hull,2,-11.1795,2.0979
"Crismatt, Nabil",hull,3,12.6766,-12.0665
"Criswell, Cooper",hull,0,-0.5707,8.2244
"Criswell, Cooper",hull,1,-15.0499,-1.5226
"Criswell, Cooper",hull,2,-12.9628,-5.5493
"Crochet, Garrett",hull,0,-13.7631,-2.975
"Crochet, Garrett",hull,1,16.1715,8.1847
"Crochet, Garrett",hull,2,8.0274,15.9539
"Crochet, Garrett",hull,3,-3.6537,6.2116
"Cruz, Fernando",hull,0,-6.0267,17.5347
